timeframe,date,open,high,low,close,volume,peak_or_valley,strength
1min,2023-09-15 04:41:00,26620.4,26620.4,26615.6,26615.7,0.19677307,valley,240.0
1min,2023-09-15 04:42:00,26615.6,26628.6,26615.6,26628.6,0.54020247,peak,240.0
1min,2023-09-15 04:46:00,26625.0,26649.6,26625.0,26648.7,2.51321242,peak,120.0
1H,2023-09-15 04:48:00,26648.7,26655.1,26648.6,26649.3,2.70449956,peak,15120.0
1min,2023-09-15 04:49:00,26649.2,26649.3,26641.4,26642.9,0.91577211,valley,180.0
1min,2023-09-15 04:51:00,26649.0,26654.8,26646.6,26654.8,2.92629637,peak,180.0
1min,2023-09-15 04:56:00,26651.1,26651.2,26646.2,26646.2,0.74355539,valley,180.0
1min,2023-09-15 05:00:00,26643.2,26643.2,26635.2,26639.4,1.26787864,valley,420.0
1min,2023-09-15 05:02:00,26639.3,26639.3,26636.7,26637.4,0.5554883,valley,120.0
1min,2023-09-15 05:03:00,26637.4,26640.1,26637.3,26640.0,0.07759545,peak,180.0
1min,2023-09-15 05:07:00,26635.0,26638.1,26634.9,26638.0,0.126533,valley,180.0
1min,2023-09-15 05:08:00,26638.0,26641.3,26638.0,26641.2,0.27959817,peak,480.0
1min,2023-09-15 05:11:00,26634.2,26637.7,26634.1,26637.7,0.25735319,valley,240.0
1min,2023-09-15 05:12:00,26637.7,26640.7,26637.7,26640.7,0.04422865,peak,180.0
1min,2023-09-15 05:16:00,26631.5,26631.5,26627.3,26628.8,1.14407413,valley,360.0
1min,2023-09-15 05:17:00,26628.8,26635.2,26628.8,26635.2,0.37986281,peak,120.0
1min,2023-09-15 05:29:00,26613.7,26613.7,26610.3,26610.4,0.08250898,valley,480.0
5min,2023-09-15 05:36:00,26618.8,26620.4,26618.8,26620.4,0.1024514,peak,600.0
1min,2023-09-15 05:38:00,26606.7,26606.7,26600.3,26604.2,0.20780868,valley,180.0
1min,2023-09-15 05:39:00,26604.4,26609.0,26604.4,26606.4,0.23648815,peak,120.0
1min,2023-09-15 05:46:00,26587.5,26587.5,26584.2,26584.2,0.32086289,valley,480.0
5min,2023-09-15 05:52:00,26592.4,26598.7,26592.3,26598.7,0.57117375,peak,660.0
1min,2023-09-15 05:56:00,26581.0,26581.0,26575.7,26577.6,0.83012416,valley,240.0
1min,2023-09-15 05:57:00,26577.6,26595.5,26577.6,26585.1,2.45310638,peak,240.0
1min,2023-09-15 06:02:00,26573.5,26573.8,26573.4,26573.8,0.29996631,valley,240.0
1min,2023-09-15 06:03:00,26573.8,26573.9,26573.8,26573.8,0.05188274,peak,120.0
15min,2023-09-15 06:06:00,26573.7,26573.8,26572.0,26572.0,0.21921437,valley,2040.0
1min,2023-09-15 06:11:00,26580.9,26580.9,26573.5,26573.5,0.37311845,valley,120.0
1min,2023-09-15 06:12:00,26573.6,26581.4,26573.5,26580.7,0.86937084,peak,120.0
1min,2023-09-15 06:15:00,26581.4,26581.5,26574.5,26574.6,0.85927942,valley,180.0
15min,2023-09-15 06:20:00,26606.7,26606.8,26605.1,26605.1,0.62458576,peak,2460.0
1min,2023-09-15 06:26:00,26600.2,26600.3,26598.6,26598.8,0.23715899,valley,240.0
1min,2023-09-15 06:30:00,26599.7,26599.7,26591.2,26591.4,0.29538544,valley,360.0
1min,2023-09-15 06:33:00,26594.5,26599.4,26594.5,26599.3,0.24412624,peak,180.0
5min,2023-09-15 06:40:00,26577.2,26577.3,26569.2,26569.2,0.57614843,valley,1500.0
1min,2023-09-15 06:42:00,26569.3,26571.7,26569.3,26571.7,0.55618989,peak,120.0
1min,2023-09-15 06:45:00,26570.5,26578.3,26569.3,26578.3,0.61662002,valley,240.0
1min,2023-09-15 06:47:00,26578.3,26579.2,26578.3,26579.1,0.15301632,peak,180.0
1min,2023-09-15 06:48:00,26579.1,26579.1,26575.1,26575.8,0.35816584,valley,180.0
5min,2023-09-15 06:52:00,26581.1,26588.5,26581.1,26588.5,0.51348007,peak,660.0
1min,2023-09-15 06:59:00,26580.4,26580.5,26576.4,26577.8,0.98581791,valley,360.0
1min,2023-09-15 07:03:00,26584.2,26595.6,26580.9,26595.5,1.23736477,valley,120.0
5min,2023-09-15 07:04:00,26595.5,26597.2,26586.8,26592.0,0.84642447,peak,1740.0
1min,2023-09-15 07:06:00,26568.2,26577.6,26568.1,26577.6,0.76324307,valley,540.0
1min,2023-09-15 07:07:00,26577.6,26577.8,26574.2,26574.3,0.21665679,peak,120.0
1min,2023-09-15 07:16:00,26561.0,26561.0,26556.3,26556.4,0.51087272,valley,300.0
1min,2023-09-15 07:17:00,26556.4,26564.1,26556.3,26564.1,0.46562234,peak,120.0
1min,2023-09-15 07:21:00,26558.4,26559.4,26555.5,26555.5,0.22277278,peak,120.0
15min,2023-09-15 07:22:00,26555.5,26555.6,26553.4,26553.5,0.31825569,valley,2640.0
1min,2023-09-15 07:23:00,26553.5,26569.8,26553.4,26566.5,2.44089691,peak,180.0
1min,2023-09-15 07:28:00,26576.6,26578.2,26576.5,26578.2,0.31040323,peak,180.0
1min,2023-09-15 07:31:00,26574.7,26579.8,26574.0,26579.6,0.43910793,valley,240.0
5min,2023-09-15 07:32:00,26579.7,26585.5,26579.7,26582.8,0.65977892,peak,1620.0
1min,2023-09-15 07:33:00,26582.8,26582.8,26579.3,26580.9,0.56283874,valley,120.0
1min,2023-09-15 07:35:00,26581.2,26581.2,26577.9,26577.9,0.64559453,valley,240.0
1min,2023-09-15 07:36:00,26578.0,26582.3,26577.9,26582.3,0.15991318,peak,180.0
1min,2023-09-15 07:39:00,26579.3,26579.5,26579.2,26579.5,0.007265,peak,120.0
1min,2023-09-15 07:44:00,26570.9,26579.1,26570.9,26579.1,1.13648947,valley,420.0
1min,2023-09-15 07:46:00,26576.6,26576.6,26574.2,26574.3,0.31908629,valley,120.0
5min,2023-09-15 07:50:00,26581.8,26584.7,26576.8,26576.9,2.50002007,peak,1080.0
1min,2023-09-15 07:54:00,26570.5,26572.8,26564.9,26568.0,1.60019025,peak,180.0
1min,2023-09-15 07:55:00,26568.0,26568.1,26562.2,26567.1,2.10307634,valley,360.0
1min,2023-09-15 07:59:00,26566.9,26568.7,26566.9,26568.7,0.18925299,peak,300.0
1min,2023-09-15 08:05:00,26557.4,26562.9,26557.3,26562.8,0.4913583,peak,240.0
5min,2023-09-15 08:08:00,26548.1,26557.3,26548.0,26557.2,1.15666422,valley,600.0
1min,2023-09-15 08:10:00,26561.2,26561.3,26561.2,26561.3,0.47718083,peak,240.0
1min,2023-09-15 08:12:00,26560.4,26560.5,26550.6,26552.2,2.73857878,valley,120.0
1H,2023-09-15 08:20:00,26545.0,26551.9,26541.4,26551.9,3.70238393,valley,10620.0
1min,2023-09-15 08:21:00,26558.1,26564.5,26558.1,26561.0,0.65815441,peak,300.0
1min,2023-09-15 08:27:00,26572.4,26574.4,26572.3,26574.2,1.09659745,peak,180.0
1min,2023-09-15 08:30:00,26574.3,26587.1,26574.2,26586.9,2.89897731,peak,120.0
1min,2023-09-15 08:37:00,26599.0,26600.0,26598.2,26598.5,0.6694989,peak,540.0
1min,2023-09-15 08:40:00,26598.5,26598.5,26594.9,26595.0,0.42243482,valley,420.0
1min,2023-09-15 08:47:00,26606.2,26625.6,26606.1,26625.6,3.47097639,peak,420.0
1min,2023-09-15 08:52:00,26616.7,26617.2,26614.0,26614.0,0.37584748,peak,120.0
1min,2023-09-15 08:52:00,26616.7,26617.2,26614.0,26614.0,0.37584748,valley,300.0
1min,2023-09-15 08:55:00,26627.2,26634.3,26627.1,26633.7,0.31585392,peak,120.0
1min,2023-09-15 08:56:00,26631.1,26633.0,26626.6,26631.0,1.4188926,valley,120.0
1min,2023-09-15 08:57:00,26631.0,26637.5,26630.9,26637.4,0.94317032,peak,180.0
1min,2023-09-15 08:59:00,26637.2,26637.2,26634.8,26634.8,0.2212431,valley,120.0
4H,2023-09-15 09:00:00,26634.9,26690.0,26634.8,26667.3,16.34648741,peak,45000.0
1min,2023-09-15 09:05:00,26627.3,26627.3,26619.8,26619.9,0.1114718,valley,120.0
1min,2023-09-15 09:09:00,26614.2,26614.3,26614.2,26614.2,0.23835337,valley,360.0
1min,2023-09-15 09:10:00,26614.3,26615.8,26614.2,26615.2,0.59940619,peak,120.0
1min,2023-09-15 09:13:00,26615.1,26618.8,26614.6,26614.6,0.99432362,peak,360.0
1min,2023-09-15 09:20:00,26591.1,26593.3,26589.9,26591.6,1.39383966,valley,120.0
15min,2023-09-15 09:23:00,26586.9,26587.0,26581.5,26581.5,1.49681088,valley,3180.0
1min,2023-09-15 09:27:00,26587.9,26593.2,26587.9,26593.2,0.78212036,peak,360.0
1min,2023-09-15 09:32:00,26588.0,26588.2,26587.7,26588.2,0.13574723,valley,360.0
1min,2023-09-15 09:37:00,26624.1,26647.0,26624.0,26642.6,2.28073339,peak,120.0
1min,2023-09-15 09:39:00,26642.6,26659.8,26642.5,26655.1,0.91511144,peak,120.0
